# dair_loct3f_veh - Test-3 final-boss localizer distributions (auto-generated). param2=std (covariance consumes this); param1=bias=0.
error_type,dist_min,dist_max,distribution,param1,param2,param3
longitudinal,0.0,2.0,normal,0.0,0.85,
longitudinal,2.0,4.0,normal,0.0,0.85,
longitudinal,4.0,6.0,normal,0.0,0.85,
longitudinal,6.0,8.0,normal,0.0,0.85,
longitudinal,8.0,10.0,normal,0.0,0.85,
longitudinal,10.0,12.0,normal,0.0,0.85,
longitudinal,12.0,14.0,normal,0.0,0.85,
longitudinal,14.0,16.0,normal,0.0,0.85,
longitudinal,16.0,18.0,normal,0.0,0.85,
longitudinal,18.0,20.0,normal,0.0,0.85,
longitudinal,20.0,22.0,normal,0.0,0.85,
lateral,0.0,2.0,normal,0.0,0.47,
lateral,2.0,4.0,normal,0.0,0.47,
lateral,4.0,6.0,normal,0.0,0.47,
lateral,6.0,8.0,normal,0.0,0.47,
lateral,8.0,10.0,normal,0.0,0.47,
lateral,10.0,12.0,normal,0.0,0.47,
lateral,12.0,14.0,normal,0.0,0.47,
lateral,14.0,16.0,normal,0.0,0.47,
lateral,16.0,18.0,normal,0.0,0.47,
lateral,18.0,20.0,normal,0.0,0.47,
lateral,20.0,22.0,normal,0.0,0.47,
vertical,0.0,2.0,normal,0.0,0.03,
vertical,2.0,4.0,normal,0.0,0.03,
vertical,4.0,6.0,normal,0.0,0.03,
vertical,6.0,8.0,normal,0.0,0.03,
vertical,8.0,10.0,normal,0.0,0.03,
vertical,10.0,12.0,normal,0.0,0.03,
vertical,12.0,14.0,normal,0.0,0.03,
vertical,14.0,16.0,normal,0.0,0.03,
vertical,16.0,18.0,normal,0.0,0.03,
vertical,18.0,20.0,normal,0.0,0.03,
vertical,20.0,22.0,normal,0.0,0.03,
roll,0.0,2.0,normal,0.0,0.005,
roll,2.0,4.0,normal,0.0,0.005,
roll,4.0,6.0,normal,0.0,0.005,
roll,6.0,8.0,normal,0.0,0.005,
roll,8.0,10.0,normal,0.0,0.005,
roll,10.0,12.0,normal,0.0,0.005,
roll,12.0,14.0,normal,0.0,0.005,
roll,14.0,16.0,normal,0.0,0.005,
roll,16.0,18.0,normal,0.0,0.005,
roll,18.0,20.0,normal,0.0,0.005,
roll,20.0,22.0,normal,0.0,0.005,
pitch,0.0,2.0,normal,0.0,0.005,
pitch,2.0,4.0,normal,0.0,0.005,
pitch,4.0,6.0,normal,0.0,0.005,
pitch,6.0,8.0,normal,0.0,0.005,
pitch,8.0,10.0,normal,0.0,0.005,
pitch,10.0,12.0,normal,0.0,0.005,
pitch,12.0,14.0,normal,0.0,0.005,
pitch,14.0,16.0,normal,0.0,0.005,
pitch,16.0,18.0,normal,0.0,0.005,
pitch,18.0,20.0,normal,0.0,0.005,
pitch,20.0,22.0,normal,0.0,0.005,
yaw,0.0,2.0,normal,0.0,0.005,
yaw,2.0,4.0,normal,0.0,0.005,
yaw,4.0,6.0,normal,0.0,0.005,
yaw,6.0,8.0,normal,0.0,0.005,
yaw,8.0,10.0,normal,0.0,0.005,
yaw,10.0,12.0,normal,0.0,0.005,
yaw,12.0,14.0,normal,0.0,0.005,
yaw,14.0,16.0,normal,0.0,0.005,
yaw,16.0,18.0,normal,0.0,0.005,
yaw,18.0,20.0,normal,0.0,0.005,
yaw,20.0,22.0,normal,0.0,0.005,
# Overall bins (count-weighted aggregate for static mode); constant model.
longitudinal,0.0,22.0,normal,0.0,0.85,
lateral,0.0,22.0,normal,0.0,0.47,
vertical,0.0,22.0,normal,0.0,0.03,
roll,0.0,22.0,normal,0.0,0.005,
pitch,0.0,22.0,normal,0.0,0.005,
yaw,0.0,22.0,normal,0.0,0.005,
